SETID,DEPTID,DESCR,GL_EXPENSE,DESCR50
A1_ID,4001,AWS Professional Services,AMAZON WEB SERVICES,AWS - Product Management and Dev Relations
A1_ID,7300,Cloudfront,AMAZON WEB SERVICES,AWS - Utility Computing
A1_ID,7304,DBS Leadership,AMAZON WEB SERVICES,AWS - Utility Computing
A1_ID,7337,DBS Redshift,AMAZON WEB SERVICES,AWS - Utility Computing
A1_ID,7413,Acquisition & Construction-Var,AMAZON WEB SERVICES,Infrastructure
A1_ID,7453,Data Center Capital,AMAZON WEB SERVICES,Infrastructure
A1_ID,7454,Data Center Ops (DCO)-Variable,AMAZON WEB SERVICES,Infrastructure
A1_ID,7456,Data Center GlobalServices-Var,AMAZON WEB SERVICES,Infrastructure
A1_ID,7457,AWS Technical Ops Servcs(TOS),AMAZON WEB SERVICES,AWS - Utility Computing
A1_ID,7459,Network Operations - Variable,AMAZON WEB SERVICES,Infrastructure
A1_ID,7465,Infrastructure Physical Scrty,AMAZON WEB SERVICES,Infrastructure
A1_ID,7704,Data Center Design Engineering,AMAZON WEB SERVICES,Infrastructure
A1_ID,7710,Systems & Network Engineering,AMAZON WEB SERVICES,Infrastructure
A1_ID,7729,Data Center Global Services,AMAZON WEB SERVICES,Infrastructure
A1_ID,7742,Business Operations-Variable,AMAZON WEB SERVICES,Infrastructure
A1_ID,7751,Data Center Operations (DCO),AMAZON WEB SERVICES,Infrastructure
A1_ID,7760,Data Center Engg Ops(DCEO)-Var,AMAZON WEB SERVICES,Infrastructure
A2ZID,1004,Prime Now FC Fixed,OPERATIONS & CUSTOMER SERVICE,FC Operations
A2ZID,1585,Fixed Digital Corp - CS,OPERATIONS & CUSTOMER SERVICE,WW Customer Service
A2ZID,2512,AWS Variable Fraud,AMAZON WEB SERVICES,AWS - Utility Computing
A2ZID,2549,Operations and Supply Chain,KINDLE DEVICE,Device Operations
A2ZID,2550,Quality and Lean,KINDLE DEVICE,Device Operations
A2ZID,2551,Supply Chain Planning,KINDLE DEVICE,Device Operations
A2ZID,2552,Global Manufacturing &Ops Engg,DIGITAL,Device Operations
A2ZID,2553,Supply Chain and Compliance,KINDLE DEVICE,Device Operations
A2ZID,2554,"Product Ops: Echo, eReader,SMP",KINDLE DEVICE,Device Operations
A2ZID,2555,Global Operations Support,KINDLE DEVICE,Device Operations
A2ZID,2556,AME/NPI,KINDLE DEVICE,Device Operations
A2ZID,2558,New Technology Operations,KINDLE DEVICE,Device Operations
A2ZID,2559,Product Operations: SMP & Echo,KINDLE DEVICE,Device Operations
A2ZID,2560,Accessories Operations,KINDLE DEVICE,Device Operations
A2ZID,4322,Guru Operations Variable,KINDLE DEVICE,North American Sales
A2ZID,4451,Dig Tech Mgmt - BD/Mktg,DIGITAL,New Initiatives
A2ZID,4502,Transaction Risk Management,MERCHANT SERVICES,Risk Management and Fraud
A2ZID,5101,Echo Look Consumer Variable,INTERNATIONAL RETAIL, 
A2ZID,5111,Author Services,KINDLE CONTENT,GoodReads
A2ZID,5139,Applied Modeling and Data Sci,KINDLE DEVICE,App Store/ Games/ Cloud drive
A2ZID,5140,Alexa Data Services,KINDLE DEVICE,App Store/ Games/ Cloud drive
A2ZID,5141,Amazon Devices-Demand Planning,DIGITAL,New Initiatives
A2ZID,5142,Special conversion,DIGITAL,New Initiatives
A2ZID,5143,Kindle PM and Design,DIGITAL,New Initiatives
A2ZID,5144,Amazon Education (Management),KINDLE DEVICE,Device Education
A2ZID,5146,Alexa Excellence,KINDLE DEVICE,New Initiatives
A2ZID,5155,Tech Program Mgt,DIGITAL,Device Software
A2ZID,5160,Amazon Publishing,DIGITAL,Amazon Publishing
A2ZID,5160HR,Encore/CaC/ODP - HR,DIGITAL,Digital Support
A2ZID,5162,Music - Product Mgmt,BUSINESS DEV AND CPC,Digital Music
A2ZID,5163,Digital Audio Product Ops,BUSINESS DEV AND CPC,Digital Music
A2ZID,5164,Amazon Devices Product Mgt,KINDLE DEVICE,Kindle Products
A2ZID,5165,Digital Management,DIGITAL,New Initiatives
A2ZID,5167,Device Software & QA - Mgt,KINDLE DEVICE,Device Software
A2ZID,5168,Device Variable (TRMS),DIGITAL,Kindle Device Software
A2ZID,5169,Cross Platform Mgt,DIGITAL,Device Cross Platform
A2ZID,5171,Self Publishing,DIGITAL,Independent Publishing
A2ZID,5174,Amazon Devices - Emerging,KINDLE DEVICE,New Initiatives
A2ZID,5174HR,Digital Tech Management HR,DIGITAL,New Initiatives
A2ZID,5176,Hardware - Mgt,KINDLE DEVICE,Device Hardware
A2ZID,5177,SW-IoT & Mobile Products,KINDLE DEVICE,Device Software
A2ZID,5178,KDK - Mgt,DIGITAL,App Store/ Games/ Cloud drive
A2ZID,5181,Digital Program Management,DIGITAL,New Initiatives
A2ZID,5183,Alexa Experience and Devices,KINDLE DEVICE,App Store/ Games/ Cloud drive
A2ZID,5190,Publisher Tools to Reader -Mgt,KINDLE CONTENT,Content Tech & Ops
A2ZID,5193,FireTV Engagement&Experiences,KINDLE DEVICE,Kindle Products
A2ZID,5193HR,Digital Project Mngmnt - HR,DIGITAL,New Initiatives
A2ZID,5197,Alexa Domains - Smart Home,KINDLE DEVICE,App Store/ Games/ Cloud drive
A2ZID,5199,Alexa Domains - HHO,KINDLE DEVICE,App Store/ Games/ Cloud drive
A2ZID,5205,Content Vendor Mgt,KINDLE CONTENT,Content Acquisition
A2ZID,5210,Engagement Design Group,MERCHANT SERVICES,Graphic Design
A2ZID,5220,Appstore Content Test Operatns,KINDLE DEVICE,App Store/ Games/ Cloud drive
A2ZID,5232,SnDBox - Tech,KINDLE CONTENT,Kindle Content
A2ZID,5235,Top Level Domain,KINDLE CONTENT,Kindle Content
A2ZID,5247,FireTV Partners & Advertising,KINDLE DEVICE,Device Management
A2ZID,5252,KC JP Manga,KINDLE CONTENT,Kindle Device Software
A2ZID,5256,Amazon Devices - E-reader,DIGITAL,Kindle Institutional
A2ZID,5257,Amzn Devices-US KOR Fld Sales,KINDLE DEVICE,Marketing and D&A and Offline Retail
A2ZID,5345,Echo Look Consumer Fixed,NORTH AMERICA RETAIL,Consumer Website
A2ZID,5353,Webstore Businesses,MERCHANT SERVICES,Seller Website Business
A2ZID,5357,Falcon Business,MERCHANT SERVICES,Seller Website Business
A2ZID,5358,Enterprise India Variable,MERCHANT SERVICES,Seller Website Business
A2ZID,5367,Webstore Technology,MERCHANT SERVICES,Seller Website Business
A2ZID,5375,WebStore Technology,MERCHANT SERVICES,Seller Website Business
A2ZID,5612,Mobile Shopping,MERCHANT SERVICES,Amazon Mobile
A2ZID,5690,Appstore 3P/Underground,KINDLE DEVICE,App Store/ Games/ Cloud drive
A2ZID,5691,Appstore 1P Devices,KINDLE DEVICE,App Store/ Games/ Cloud drive
A2ZID,5711,Amazon Register,BUSINESS DEV AND CPC,Amazon Local Commerce
A2ZID,5774,AWS Commercial Sales - Fixed,AMAZON WEB SERVICES,AWS - Product Management and Dev Relations
A2ZID,5805,Shopping OS,MERCHANT SERVICES,Consumer Website
A2ZID,5810,DMT Admin,AMAZON WEB SERVICES,Developer Productivity and Tools
A2ZID,5815,AWS Documentation,AMAZON WEB SERVICES,Developer Productivity and Tools
A2ZID,5830,Appstore Admin,KINDLE DEVICE,App Store/ Games/ Cloud drive
A2ZID,5834,Appstore Platform/Twitch,KINDLE DEVICE,App Store/ Games/ Cloud drive
A2ZID,5835,Appstore Consumer Marketing,KINDLE DEVICE,App Store/ Games/ Cloud drive
A2ZID,5940,Amazon Game Studios,AMAZON WEB SERVICES,Games
A2ZID,5942,Twitch - Fixed - Marketing,AMAZON WEB SERVICES,MEDIA
A2ZID,5944,Twitch - Variable-Fulfillment,AMAZON WEB SERVICES,MEDIA
A2ZID,5946,Twitch - Fixed - Tech Costs,AMAZON WEB SERVICES,MEDIA
A2ZID,5948,AGS OC Control,AMAZON WEB SERVICES,Games
A2ZID,5949,AGS Kiln Studio,AMAZON WEB SERVICES,Games
A2ZID,5950,AGS Central Groups,AMAZON WEB SERVICES,Games
A2ZID,5952,Lumberyard BD/Sales-Variable,AMAZON WEB SERVICES,Games
A2ZID,5953,AGS OC Versus,AMAZON WEB SERVICES,Games
A2ZID,5954,AGS OC Campaign,AMAZON WEB SERVICES,Games
A2ZID,5955,AGS Live Operations,AMAZON WEB SERVICES,Games
A2ZID,7019,AMZL Secure Delivery,OPERATIONS & CUSTOMER SERVICE,NAFC
A2ZID,7020,Global IT Services - Local IT,NORTH AMERICA RETAIL,Security
A2ZID,7113,Hardware-Builds Accessories,KINDLE DEVICE,Device Hardware
A2ZID,7117,Concept Engineering,KINDLE DEVICE,Device Hardware
A2ZID,7118,Vesta,KINDLE DEVICE,New Initiatives
A2ZID,7119,Jumpstart,KINDLE DEVICE,Device Hardware
A2ZID,7120,Alexa Machine Learning,KINDLE DEVICE,App Store/ Games/ Cloud drive
A2ZID,7121,Device and Services Design Grp,KINDLE DEVICE,New Initiatives
A2ZID,7122,Tablet Product Software,KINDLE DEVICE,Kindle Device Apps
A2ZID,7123,Apub - Variable,DIGITAL,New Initiatives
A2ZID,7124,Hardware-Design Technology,KINDLE DEVICE,Device Hardware
A2ZID,7125,Hardware-Wireless Connectivity,KINDLE DEVICE,Device Hardware
A2ZID,7126,Computer Vision Software Prdct,KINDLE DEVICE,Device Software
A2ZID,7127,"REaD-Reader,Educat and Design",KINDLE CONTENT,Content Tech & Ops
A2ZID,7128,Echo Software,KINDLE DEVICE,Device Software
A2ZID,7129,E-reader Products,KINDLE DEVICE,Device Software
A2ZID,7130,Device Tech Support,DIGITAL,New Initiatives
A2ZID,7131,Amazon Education,DIGITAL,New Initiatives
A2ZID,7132,Kindle Education - Tech,DIGITAL,New Initiatives
A2ZID,7133,Hardware- Liquavista,KINDLE DEVICE,Device Hardware
A2ZID,7134,SW-Supply Chain Technologies,KINDLE DEVICE,Device Software
A2ZID,7135,Content Programs - Variable,DIGITAL,New Initiatives
A2ZID,7136,Hardware-Product Development,KINDLE DEVICE,Device Hardware
A2ZID,7137,Alexa OS,KINDLE DEVICE,New Initiatives
A2ZID,7138,FireTV Devices Organization,KINDLE DEVICE,Device Software
A2ZID,7139,Goodreads - Tech,KINDLE CONTENT,GoodReads
A2ZID,7140,comiXology - Tech,KINDLE CONTENT,Content Acquisition
A2ZID,7141,Hardware-Technology & Archit,KINDLE DEVICE,Device Hardware
A2ZID,7143,ZME - Tech,KINDLE CONTENT,Content Tech & Ops
A2ZID,7146,Alexa Domains - Information,KINDLE DEVICE,Device Education
A2ZID,7147,Alexa Skills Developer Tech,KINDLE DEVICE,Device Education
A2ZID,7148,Alexa Communications,KINDLE DEVICE,Device Hardware
A2ZID,7149,AC Product Management,KINDLE DEVICE,Device Hardware
A2ZID,7151,Alexa Domains - Entertainment,KINDLE DEVICE,Marketing and D&A
A2ZID,7152,AVS,KINDLE DEVICE,Marketing and D&A
A2ZID,7153,Alexa Skills Store Tech,KINDLE DEVICE,Marketing and D&A
A2ZID,7154,Project Diamond,KINDLE DEVICE,App Store/ Games/ Cloud drive
A2ZID,7162,Alexa Automotive,KINDLE DEVICE,Alexa
A2ZID,7165,POD - Tech,KINDLE CONTENT,Kindle Content
A2ZID,7181,Alexa IDO Support,KINDLE DEVICE,Device Software
A2ZID,7191,FC Systems Management,OPERATIONS & CUSTOMER SERVICE,NAFC
A2ZID,7203,Kindle International Expansion,KINDLE CONTENT,Kindle Content
A2ZID,7303,EC2,AMAZON WEB SERVICES,AWS - Utility Computing
A2ZID,7304,DBS Leadership,AMAZON WEB SERVICES,AWS - Utility Computing
A2ZID,7330,Glacier,AMAZON WEB SERVICES,AWS - Utility Computing
A2ZID,7332,WorkSpaces 7332,AMAZON WEB SERVICES,AWS - Utility Computing
A2ZID,7335,Devices Advertising - Fixed,BUSINESS DEV AND CPC,WW Advertising
A2ZID,7337,DBS Redshift,AMAZON WEB SERVICES,AWS - Utility Computing
A2ZID,7403,Corporate Systems,AMAZON WEB SERVICES,Infrastructure
A2ZID,7404,Global IT,E-COMMERCE PLATFORM,Security
A2ZID,7405,CAST,NORTH AMERICA RETAIL,Retail Management & Other
A2ZID,7406,Amazon Register Tech,BUSINESS DEV AND CPC,Amazon Local Commerce
A2ZID,7425,Infrastructure Engineering,KINDLE DEVICE,Device Operations
A2ZID,7430,Learning Machines,KINDLE CONTENT,Machine Learning
A2ZID,7455,AWS Kinesis,AMAZON WEB SERVICES,AWS - Utility Computing
A2ZID,7500,Information Security,E-COMMERCE PLATFORM,Security
A2ZID,7526,Amazon Lending Management,MERCHANT SERVICES,Merchant Technologies
A2ZID,7625,Platform Development,INTERNATIONAL RETAIL,International Expansion
A2ZID,7702,CS Applications - Kindle,OPERATIONS & CUSTOMER SERVICE,WW Customer Service
A2ZID,7707,Grand Challenge,AMAZON WEB SERVICES,AWS - Administration
A2ZID,7708,Zimm,AMAZON WEB SERVICES,AWS - Utility Computing
A2ZID,7716,"IoT, Mobile, Serverless, VR/AR",AMAZON WEB SERVICES,AWS - Utility Computing
A2ZID,7720,Amazon Fulfillment Technology,OPERATIONS & CUSTOMER SERVICE,AFT
A2ZID,7726,Customer Service Applications,OPERATIONS & CUSTOMER SERVICE,Subsidiary Operations
A2ZID,7732,Finance Technology,E-COMMERCE PLATFORM,Ecommerce Platform Services
A2ZID,7733,Enterprise Target - Fixed,MERCHANT SERVICES,Seller Website Business
A2ZID,7750,Marketplace Tech,MERCHANT SERVICES,Merchant Technologies
A2ZID,7763,Prime,NORTH AMERICA RETAIL,WW Prime
A2ZID,7764,AWS Silk,AMAZON WEB SERVICES,AWS - Utility Computing
A2ZID,7769,AWS Marketplace,AMAZON WEB SERVICES,AWS - Utility Computing
A2ZID,7771,AWS - Administration,AMAZON WEB SERVICES,AWS - Administration
A2ZID,7772,AIM,AMAZON WEB SERVICES,AWS - Utility Computing
A2ZID,7775,Consumer Marketing Analytics,NORTH AMERICA RETAIL,Traffic
A2ZID,7787,Elemental ETS,AMAZON WEB SERVICES,AWS - Utility Computing
A2ZID,7797,Search Services,AMAZON WEB SERVICES,AWS - Utility Computing
A2ZID,7801,Amazon Dvcs-Direct Sales(Tech),DIGITAL,Kindle Institutional
A2ZID,7802,Hardware-Operational Exclnce,KINDLE DEVICE,Device Hardware
A2ZID,7802HR,HR-Digital Product Engineering,DIGITAL,Subsidiary HR
A2ZID,7803,DV Core Platform - Technology,BUSINESS DEV AND CPC,Video/Studios
A2ZID,7803HR,Digital Video Product Tech HR,BUSINESS DEV AND CPC,Video/Studios
A2ZID,7804,Music - Digital Tech,BUSINESS DEV AND CPC,Digital Music
A2ZID,7804HR,Music - Digital Tech HR,HR,Digital HR
A2ZID,7805,Digital Services - Tech,KINDLE DEVICE,Kindle Device Apps
A2ZID,7806,SW - Device OS,KINDLE DEVICE,Device Software
A2ZID,7808,Technology SW & VG,AMAZON WEB SERVICES,Games
A2ZID,7810,Books Tech,KINDLE CONTENT,Content Tech
A2ZID,7826,Technology-Amazon Fresh,NORTH AMERICA RETAIL,Con-AmazonFresh
A2ZID,7827,Appstore DeX,KINDLE DEVICE,App Store/ Games/ Cloud drive
A2ZID,7827HR,Tech - Venezia HR,AMAZON WEB SERVICES,App Store/ Games/ Cloud drive
A2ZID,7829,SW-Device Services & Operation,KINDLE DEVICE,Device Software
A2ZID,7831,Publisher Tools to Reader-Tech,KINDLE CONTENT,Content Tech & Ops
A2ZID,7833,Kindle Edu/Ent Support,DIGITAL,Device Cross Platform
A2ZID,7834,SW-Device Sales & Offline Tech,KINDLE DEVICE,Kindle Device Apps
A2ZID,7843,Vendor Powered Coupons - Tech,NORTH AMERICA RETAIL,Con-Consumables
A2ZID,7846,Amazon Cloud Drive,BUSINESS DEV AND CPC,Biz Dev/Corp Dev/DPReview
A2ZID,7850,Retail Cross-Mktplace Inventry,NORTH AMERICA RETAIL,RS-Sub Int
A2ZID,7852,RBS - Tech,NORTH AMERICA RETAIL,RS-Sub Int
A2ZID,7854,Appstore Selection & Dev Mktg,KINDLE DEVICE,App Store/ Games/ Cloud drive
A2ZID,7855,Appstore Alexa Dev Tech,KINDLE DEVICE,App Store/ Games/ Cloud drive
A2ZID,7858,Social Game Services,AMAZON WEB SERVICES,App Store/ Games/ Cloud drive
A2ZID,7859,GameLift - Fixed,AMAZON WEB SERVICES,AWS - Utility Computing
A2ZID,7860,AGS SD 7860,AMAZON WEB SERVICES,Games
A2ZID,7861,AppStream,AMAZON WEB SERVICES,App Store/ Games/ Cloud drive
A2ZID,7868,Lumberyard Engine - Fixed,AMAZON WEB SERVICES,Games
A2ZID,7870,Game Works - Support,AMAZON WEB SERVICES,MEDIA
A2ZID,7874,Twitch Prime 7874,AMAZON WEB SERVICES,Games
A2ZID,7879,AWS Messaging and Targeting,AMAZON WEB SERVICES,AWS - Utility Computing
A2ZID,7893,AWS Mobile Applications,AMAZON WEB SERVICES,AWS - Utility Computing
A2ZID,7896,Lumberyard Marketing - Fixed,AMAZON WEB SERVICES,Games
A2ZID,7897,Game Studios Marketing Fixed,AMAZON WEB SERVICES,Games
A2ZID,7899,Hardware-Builds Product Devgrp,KINDLE DEVICE,Device Software
A2ZID,7900,Hardware - Industrial Design,KINDLE DEVICE,Device Hardware
A2ZID,7901,Hardware - HW Development,KINDLE DEVICE,Device Hardware
A2ZID,7902,Hardware - Product Integrity,KINDLE DEVICE,Device Hardware
A2ZID,7903,Firmware,KINDLE DEVICE,Device Hardware
A2ZID,7904,Hardware-Builds HW Development,KINDLE DEVICE,Device Hardware
A2ZID,7905,Connectivity Solutions Group,KINDLE DEVICE,Device Hardware
A2ZID,7906,Hardware-Sustaining & Accessor,KINDLE DEVICE,Device Hardware
A2ZID,7907,HW - Regulatory Certification,KINDLE DEVICE,Device Hardware
A2ZID,7916,Hardware - Advanced Products,KINDLE DEVICE,Device Hardware
A2ZID,7917,Lumberyard BD/Support-Variable,AMAZON WEB SERVICES,Games
A2ZID,7922,SW - Digital Security,KINDLE DEVICE,New Initiatives
A2ZID,7937,Manifold - Fixed,AMAZON WEB SERVICES,MEDIA
A2ZID,7946,Player Cloud - Fixed,AMAZON WEB SERVICES,App Store/ Games/ Cloud drive
A2ZID,8100,Corporate,CORPORATE,Corporate
A2ZID,8102,JIHM 8102,DIGITAL,JIHM
A2ZID,8106,JIHM 8106,DIGITAL,JIHM 8106
A2ZID,8107,JIHM 8107,DIGITAL,JIHM 8107
A2ZID,8108,JIHM 8108,DIGITAL,JIHM 8108
A2ZID,8109,Physical Stores GA,DIGITAL,JIHM 8109
A2ZID,8111,JIHM 8111,DIGITAL,JIHM 8111
A2ZID,8150,Legal,LEGAL,Legal
A2ZID,8151,Policy Communications,LEGAL,Legal
A2ZID,8161,IP Operations,LEGAL,Legal
A2ZID,8163,Intellect Property Lic-Legal,LEGAL,Legal
A2ZID,8164,Digital Legal,LEGAL,Legal
A2ZID,8166,NA Consumer Legal,LEGAL,Legal
A2ZID,8169,Litigation Legal,LEGAL,Legal
A2ZID,8171,Digital Products Legal,LEGAL,Legal
A2ZID,8172,Physical Stores Legal,LEGAL,Legal
A2ZID,8311,Finance Technology Services,FINANCE,Finance Operations
A2ZID,8314,Amazon Devices Finance,FINANCE,WW Kindle Finance
A2ZID,8315,"WW Consumer Insights,Planning",DIGITAL,Global Consumer FPA
A2ZID,8318,AWS and Tech Finance,FINANCE,AWS and Finance Tech Finance
A2ZID,8327,Finance Ops - BP,FINANCE,Finance Operations
A2ZID,8343,Twitch - Fixed - G&A,FINANCE,Finance Operations
A2ZID,8500,Alexa HR,HR,Digital HR
A2ZID,8500HR,Digital Tech Support - HR,HR,Digital HR
A2ZID,8600,HR4HR,HR,G&A HR
A2ZID,8625,Intl Corp/Kindle Content Rec,HR,International Consumer HR
A2ZID,8650,Recruiting Services,HR,Global Talent Acquisition
A2ZID,8651,Global Talent Acq - Univ Prgms,HR,Global Talent Acquisition
A2ZID,8653,Executive Recruiting,HR,Global Talent Acquisition
A2ZID,8654,Diversity Programs,HR,Global Talent Acquisition
A2ZID,8657,Biz Dev & Advertising HR,HR,Biz Dev & Advertising HR
A2ZID,8658,BusinessDevelopment Recruiting,HR,Biz Dev & Advertising HR
A2ZID,8659,Consumer Recruiting,HR,Consumer HR
A2ZID,8670,Consumer HR,HR,Consumer HR
A2ZID,8672,Devices HR,HR,Digital HR
A2ZID,8673,Devices Recruiting,HR,Digital HR
A2ZID,8674,Alexa Recruiting,HR,Digital HR
A2ZID,8680,AWS HR,HR,AWS HR
A2ZID,8682,AWS Recruiting,HR,AWS HR
A2ZID,8683,Legal HR,HR,G&A HR
A2ZID,8700,Facilities Administration,KINDLE DEVICE,Device Operations
A2ZID,8700A2Z,Facilities Administration A2Z,DIGITAL,Device Operations
A2ZID,8700HR,Facilities Administration HR,KINDLE DEVICE,Device Operations
A2ZID,8705,Office Management,FINANCE,Finance Operations
A9_ID,4312,Subsidiary Marketing & Sales,FINANCE,A9
A9_ID,5334,Self-Service Performance Fixed,BUSINESS DEV AND CPC,WW Advertising
A9_ID,5798,Associates Products & Platform,MERCHANT SERVICES,A9
A9_ID,7300,Cloudfront,AMAZON WEB SERVICES,AWS - Utility Computing
A9_ID,7304,DBS Leadership,AMAZON WEB SERVICES,AWS - Utility Computing
A9_ID,7310,DBS EMR,AMAZON WEB SERVICES,AWS - Utility Computing
A9_ID,7752,Search Customer Experience,MERCHANT SERVICES,A9
A9_ID,7791,Search Technologies,MERCHANT SERVICES,A9
A9_ID,7792,A9 UI,MERCHANT SERVICES,A9
A9_ID,7793,Visual Search&MobileInnovation,MERCHANT SERVICES,A9
A9_ID,7794,Advertising Technology,BUSINESS DEV AND CPC,WW Advertising
A9_ID,7795,Search Platform,MERCHANT SERVICES,A9
A9_ID,7797,Search Services,AMAZON WEB SERVICES,AWS - Utility Computing
A9_ID,8100,Corporate,MERCHANT SERVICES,A9
A9_ID,8100HR,HR - Corporate (A9),MERCHANT SERVICES,A9
A9_ID,8150,Legal,LEGAL,Legal
A9_ID,8160,Corporate Legal,LEGAL,Legal
A9_ID,8306,"Digital, Advrt and CorpDev Fin",FINANCE, 
A9_ID,8315,"WW Consumer Insights,Planning",FINANCE,Global Consumer FPA
A9_ID,8337,NA Consumer Finance,FINANCE,Global Consumer FPA
A9_ID,8338,A9 & ASCS Finance,MERCHANT SERVICES,A9
A9_ID,8601,HR Administration,HR,HR Admin & Other
A9_ID,8651,Global Talent Acq - Univ Prgms,HR,Global Talent Acquisition
A9_ID,8657,Biz Dev & Advertising HR,HR,Biz Dev & Advertising HR
A9_ID,8658,BusinessDevelopment Recruiting,HR,Biz Dev & Advertising HR
A9_ID,8659,Consumer Recruiting,HR,Consumer HR
A9_ID,8670,Consumer HR,HR,Consumer HR
ABEID,1501,CS Operations,NORTH AMERICA RETAIL,Med-AbeBooks
ABEID,4300,Search Traffic Marketing,NORTH AMERICA RETAIL,Med-AbeBooks
ABEID,4331,Channels Sales,MERCHANT SERVICES,North American Sales
ABEID,4513,Marketplace Recruit and Dev,MERCHANT SERVICES,North American Sales
ABEID,5320,Marketplace & 3rd Party,NORTH AMERICA RETAIL,Med-AbeBooks
ABEID,5320HR,HR - Marketplace & 3rd Party,NORTH AMERICA RETAIL,Subsidiary HR
ABEID,7714,"AWS Messaging,Workflow Mgmnt",AMAZON WEB SERVICES,AWS - Utility Computing
ABEID,7750,Marketplace Tech,MERCHANT SERVICES,Merchant Technologies
ABEID,7876,Transparency,NORTH AMERICA RETAIL,Consumables
ABEID,8100,Corporate,CORPORATE,Corporate
ABEID,8300,Accounting,NORTH AMERICA RETAIL,Med-AbeBooks
ABEID,8315,"WW Consumer Insights,Planning",NORTH AMERICA RETAIL,Med-AbeBooks
ABEID,8315HR,Global Consumer  FPA HR,FINANCE,Global Consumer FPA
ABEID,8670,Consumer HR,HR,Consumer HR
ACOID,4000,AWS Commercial Sales-Variable,AMAZON WEB SERVICES,AWS - Product Management and Dev Relations
ACOID,7758,AWS Security,AMAZON WEB SERVICES,AWS – Security
ACOID,7969,ESS-Morocco,AMAZON WEB SERVICES,AWS – Security
ACOID,8600,HR4HR,HR,G&A HR
ADBID,1200040,FC Shipping,OPERATIONS & CUSTOMER SERVICE,Audible
ADBID,1501,CS Operations,DIGITAL,Audible
ADBID,1501FR,CS Operations FRA,DIGITAL,Audible
ADBID,1501INT,CS Operations Interns,DIGITAL,Audible
ADBID,1501IT,CS Operations ITA,DIGITAL,Audible
ADBID,4200,Business Development,NORTH AMERICA RETAIL,Retail Management & Other
ADBID,4300,Search Traffic Marketing,DIGITAL,Audible
ADBID,4300FR,Search Traffic Mkt Audible FRA,DIGITAL,Audible
ADBID,4300IT,Search Traffic Mkt Audible ITA,DIGITAL,Audible
ADBID,4312,Subsidiary Marketing & Sales,FINANCE,Merchant Services Finance
ADBID,4506,Merchant Risk Investigations,MERCHANT SERVICES,Risk Management and Fraud
ADBID,5155,Tech Program Mgt,DIGITAL,Audible
ADBID,5155HR,HR-Digital Product Development,DIGITAL,Audible
ADBID,5155INT,Tech Program Mgt Interns,DIGITAL,Audible
ADBID,5164,Amazon Devices Product Mgt,DIGITAL,Audible
ADBID,5202,Digital - Paid Text & STRIP,DIGITAL,New Initiatives
ADBID,5205,Content Vendor Mgt,DIGITAL,Audible
ADBID,5227,Audible - Business (Non-Tech),DIGITAL,Audible
ADBID,5227FR,Audible-Business(Non-Tech) FRA,DIGITAL,Audible
ADBID,5227HR,Audible-Business (Non-Tech) HR,DIGITAL,Audible
ADBID,5227IT,Audible-Business(Non-Tech) ITA,DIGITAL,Audible
ADBID,5227US,Audible Business (non-tech) US,DIGITAL,Audible
ADBID,5256,Amazon Devices - E-reader,DIGITAL,Audible
ADBID,7128,Echo Software,DIGITAL,Audible
ADBID,7142,Audible - Tech,DIGITAL,Audible
ADBID,7804,Music - Digital Tech,DIGITAL,Audible
ADBID,8150,Legal,LEGAL,Legal
ADBID,8151,Policy Communications,LEGAL,Legal
ADBID,8300,Accounting,DIGITAL,Audible
ADBID,8305,Financial Planning & Analysis,DIGITAL,Audible
ADBID,8305FR,Financial Planning & Analysis,DIGITAL,Audible
ADBID,8305IT,Financial Planning & Analysis,DIGITAL,Audible
ADBID,8600,HR4HR,HR,G&A HR
ADBID,8655,GEMA HR,DIGITAL,Audible
ADBID,8657,Biz Dev & Advertising HR,HR,Biz Dev & Advertising HR
ALPID,5692,Alexa Skills Busness Dev,KINDLE DEVICE,App Store/ Games/ Cloud drive
ALPID,7020,Global IT Services - Local IT,NORTH AMERICA RETAIL,Security
ALPID,7146,Alexa Domains - Information,KINDLE DEVICE,Device Education
ALPID,7146HR,Alexa Domains - Information,KINDLE DEVICE,Device Education
ALPID,8314,Amazon Devices Finance,FINANCE,WW Kindle Finance
ALPID,8500,Alexa HR,HR,Digital HR
ALPID,8600,HR4HR,HR,G&A HR
ALXID,7146,Alexa Domains - Information,KINDLE DEVICE,Alexa
ALXID,7712,Alexa Internet not Voice,BUSINESS DEV AND CPC,Alexa
ALXID,7712HR,Alexa Internet HR,BUSINESS DEV AND CPC,Alexa
ALXID,8100,Corporate,BUSINESS DEV AND CPC,Alexa
ALXID,8305,Financial Planning & Analysis,FINANCE,Accounting
ANPID,7357,Annapurna G&A,AMAZON WEB SERVICES,AWS - Utility Computing
ANPID,7357HR,Annapurna G&A HR,AMAZON WEB SERVICES,AWS - Utility Computing
ANPID,7358,Annapurna - Sales,AMAZON WEB SERVICES,AWS - Utility Computing
ANPID,7358HR,Annapurna – Sales HR,AMAZON WEB SERVICES,AWS - Utility Computing
ANPID,7462,Silicon Optimization,AMAZON WEB SERVICES,AWS - Utility Computing
ANPID,8600,HR4HR,HR,G&A HR
AREID,10AA,Test CC 1,OPERATIONS & CUSTOMER SERVICE,NAFC
